ronda,orden,caso,operacion,localidad,motor,regiones_hogar,inicio_utc,latencia_ms,reintentos
25,3,lectura-local,lectura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.309+00:00,0.182,0
25,4,escritura-local,escritura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.309+00:00,1.381,0
26,1,escritura-local,escritura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.310+00:00,1.358,0
26,2,lectura-remota,lectura,remota,postgres-1-nodo,cr-limon,2026-09-17T22:40:48.312+00:00,0.165,0
26,3,lectura-local,lectura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.312+00:00,0.159,0
26,4,escritura-cruza,escritura,cruza,postgres-1-nodo,cr-sj+cr-limon,2026-09-17T22:40:48.312+00:00,1.480,0
27,1,lectura-local,lectura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.313+00:00,0.195,0
27,2,escritura-local,escritura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.314+00:00,1.461,0
27,3,lectura-remota,lectura,remota,postgres-1-nodo,cr-limon,2026-09-17T22:40:48.315+00:00,0.170,0
27,4,escritura-cruza,escritura,cruza,postgres-1-nodo,cr-sj+cr-limon,2026-09-17T22:40:48.315+00:00,1.489,0
28,1,lectura-remota,lectura,remota,postgres-1-nodo,cr-limon,2026-09-17T22:40:48.317+00:00,0.169,0
28,2,escritura-cruza,escritura,cruza,postgres-1-nodo,cr-sj+cr-limon,2026-09-17T22:40:48.317+00:00,1.477,0
28,3,lectura-local,lectura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.319+00:00,0.170,0
28,4,escritura-local,escritura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.319+00:00,1.405,0
29,1,escritura-cruza,escritura,cruza,postgres-1-nodo,cr-sj+cr-limon,2026-09-17T22:40:48.320+00:00,1.645,0
29,2,lectura-local,lectura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.322+00:00,0.167,0
29,3,escritura-local,escritura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.322+00:00,1.435,0
29,4,lectura-remota,lectura,remota,postgres-1-nodo,cr-limon,2026-09-17T22:40:48.323+00:00,0.183,0
30,1,escritura-local,escritura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.324+00:00,1.371,0
30,2,escritura-cruza,escritura,cruza,postgres-1-nodo,cr-sj+cr-limon,2026-09-17T22:40:48.325+00:00,1.398,0
30,3,lectura-local,lectura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.326+00:00,0.213,0
30,4,lectura-remota,lectura,remota,postgres-1-nodo,cr-limon,2026-09-17T22:40:48.327+00:00,0.179,0
31,1,lectura-local,lectura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.327+00:00,0.166,0
31,2,escritura-local,escritura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.327+00:00,1.327,0
31,3,escritura-cruza,escritura,cruza,postgres-1-nodo,cr-sj+cr-limon,2026-09-17T22:40:48.328+00:00,1.378,0
31,4,lectura-remota,lectura,remota,postgres-1-nodo,cr-limon,2026-09-17T22:40:48.330+00:00,0.184,0
32,1,lectura-remota,lectura,remota,postgres-1-nodo,cr-limon,2026-09-17T22:40:48.330+00:00,0.160,0
32,2,escritura-local,escritura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.330+00:00,1.362,0
32,3,escritura-cruza,escritura,cruza,postgres-1-nodo,cr-sj+cr-limon,2026-09-17T22:40:48.331+00:00,1.363,0
32,4,lectura-local,lectura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.333+00:00,0.166,0
33,1,lectura-remota,lectura,remota,postgres-1-nodo,cr-limon,2026-09-17T22:40:48.333+00:00,0.158,0
33,2,escritura-cruza,escritura,cruza,postgres-1-nodo,cr-sj+cr-limon,2026-09-17T22:40:48.333+00:00,1.546,0
33,3,lectura-local,lectura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.335+00:00,0.206,0
33,4,escritura-local,escritura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.335+00:00,1.395,0
34,1,lectura-remota,lectura,remota,postgres-1-nodo,cr-limon,2026-09-17T22:40:48.336+00:00,0.166,0
34,2,escritura-local,escritura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.337+00:00,1.355,0
34,3,escritura-cruza,escritura,cruza,postgres-1-nodo,cr-sj+cr-limon,2026-09-17T22:40:48.338+00:00,1.433,0
34,4,lectura-local,lectura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.339+00:00,0.167,0
35,1,lectura-remota,lectura,remota,postgres-1-nodo,cr-limon,2026-09-17T22:40:48.340+00:00,0.163,0
35,2,escritura-cruza,escritura,cruza,postgres-1-nodo,cr-sj+cr-limon,2026-09-17T22:40:48.340+00:00,1.382,0
35,3,escritura-local,escritura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.341+00:00,1.350,0
35,4,lectura-local,lectura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.342+00:00,0.171,0
36,1,escritura-cruza,escritura,cruza,postgres-1-nodo,cr-sj+cr-limon,2026-09-17T22:40:48.343+00:00,1.402,0
36,2,lectura-remota,lectura,remota,postgres-1-nodo,cr-limon,2026-09-17T22:40:48.344+00:00,0.178,0
36,3,escritura-local,escritura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.344+00:00,1.335,0
36,4,lectura-local,lectura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.346+00:00,0.164,0
37,1,escritura-cruza,escritura,cruza,postgres-1-nodo,cr-sj+cr-limon,2026-09-17T22:40:48.346+00:00,1.387,0
37,2,escritura-local,escritura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.347+00:00,1.481,0
37,3,lectura-local,lectura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.349+00:00,0.171,0
37,4,lectura-remota,lectura,remota,postgres-1-nodo,cr-limon,2026-09-17T22:40:48.349+00:00,0.165,0
38,1,lectura-local,lectura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.349+00:00,0.162,0
38,2,lectura-remota,lectura,remota,postgres-1-nodo,cr-limon,2026-09-17T22:40:48.349+00:00,0.160,0
38,3,escritura-cruza,escritura,cruza,postgres-1-nodo,cr-sj+cr-limon,2026-09-17T22:40:48.349+00:00,1.531,0
38,4,escritura-local,escritura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.351+00:00,1.651,0
39,1,lectura-remota,lectura,remota,postgres-1-nodo,cr-limon,2026-09-17T22:40:48.353+00:00,0.170,0
39,2,lectura-local,lectura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.353+00:00,0.162,0
39,3,escritura-cruza,escritura,cruza,postgres-1-nodo,cr-sj+cr-limon,2026-09-17T22:40:48.353+00:00,1.313,0
39,4,escritura-local,escritura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.354+00:00,1.358,0
40,1,escritura-cruza,escritura,cruza,postgres-1-nodo,cr-sj+cr-limon,2026-09-17T22:40:48.356+00:00,1.359,0
40,2,lectura-local,lectura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.357+00:00,0.168,0
40,3,lectura-remota,lectura,remota,postgres-1-nodo,cr-limon,2026-09-17T22:40:48.357+00:00,0.161,0
40,4,escritura-local,escritura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.357+00:00,1.299,0
41,1,lectura-local,lectura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.359+00:00,0.172,0
